Data	Ora	Grupa	Echipa 1	Echipa 2
18.06.2025	18:00	GRUPA A	Kamikaze Clan 	Saponel 
18.06.2025	18:00	GRUPA A	Lean Vision 	Ciocălău Team 
18.06.2025	18:00	GRUPA A	Muligambia 	BPSP 
18.06.2025	18:45	GRUPA A	BPSP 	Saponel 
18.06.2025	18:45	GRUPA A	Muligambia 	Ciocălău Team 
18.06.2025	18:45	GRUPA A	Kamikaze Clan 	Lean Vision 
18.06.2025	19:30	GRUPA A	Lean Vision 	Saponel 
18.06.2025	19:30	GRUPA A	Kamikaze Clan 	Muligambia 
18.06.2025	19:30	GRUPA A	BPSP 	Ciocălău Team 
18.06.2025	20:15	GRUPA A	Ciocălău Team 	Saponel 
18.06.2025	20:15	GRUPA A	Kamikaze Clan 	BPSP 
18.06.2025	20:15	GRUPA A	Lean Vision 	Muligambia 
18.06.2025	21:00	GRUPA A	Muligambia 	Saponel 
18.06.2025	21:00	GRUPA A	Lean Vision 	BPSP 
18.06.2025	21:00	GRUPA A	Kamikaze Clan 	Ciocălău Team 
19.06.2025	18:00	GRUPA B	Ciocana Esports 	Xtreme Players
19.06.2025	18:00	GRUPA B	Legalize 	Barbosii 
19.06.2025	18:00	GRUPA B	LitEnergy 	Japon 
19.06.2025	18:45	GRUPA B	Japon 	Xtreme Players
19.06.2025	18:45	GRUPA B	LitEnergy 	Barbosii 
19.06.2025	18:45	GRUPA B	Ciocana Esports 	Legalize 
19.06.2025	19:30	GRUPA B	Legalize 	Xtreme Players
19.06.2025	19:30	GRUPA B	Ciocana Esports 	LitEnergy 
19.06.2025	19:30	GRUPA B	Japon 	Barbosii 
19.06.2025	20:15	GRUPA B	Barbosii 	Xtreme Players
19.06.2025	20:15	GRUPA B	Ciocana Esports 	Japon 
19.06.2025	20:15	GRUPA B	Legalize 	LitEnergy 
19.06.2025	21:00	GRUPA B	LitEnergy 	Xtreme Players
19.06.2025	21:00	GRUPA B	Legalize 	Japon 
19.06.2025	21:00	GRUPA B	Ciocana Esports 	Barbosii 
20.06.2025	18:00	GRUPA C	Brigada Meteor 	Bobb3rs 
20.06.2025	18:00	GRUPA C	Neo Egoist League 	BaitMD 
20.06.2025	18:00	GRUPA C	La Passion 	 Win Spirit 
20.06.2025	18:45	GRUPA C	 Win Spirit 	Bobb3rs 
20.06.2025	18:45	GRUPA C	La Passion 	BaitMD 
20.06.2025	18:45	GRUPA C	Brigada Meteor 	Neo Egoist League 
20.06.2025	19:30	GRUPA C	Neo Egoist League 	Bobb3rs 
20.06.2025	19:30	GRUPA C	Brigada Meteor 	La Passion 
20.06.2025	19:30	GRUPA C	 Win Spirit 	BaitMD 
20.06.2025	20:15	GRUPA C	BaitMD 	Bobb3rs 
20.06.2025	20:15	GRUPA C	Brigada Meteor 	 Win Spirit 
20.06.2025	20:15	GRUPA C	Neo Egoist League 	La Passion 
20.06.2025	21:00	GRUPA C	La Passion 	Bobb3rs 
20.06.2025	21:00	GRUPA C	Neo Egoist League 	 Win Spirit 
20.06.2025	21:00	GRUPA C	Brigada Meteor 	BaitMD 
25.06.2025	18:00	GRUPA D	Coli 	Rumina 
25.06.2025	18:00	GRUPA D	K9 Team 	Shashlik 
25.06.2025	18:00	GRUPA D	Into the Breach 	WenDeagle 
25.06.2025	18:45	GRUPA D	WenDeagle 	Rumina 
25.06.2025	18:45	GRUPA D	Into the Breach 	Shashlik 
25.06.2025	18:45	GRUPA D	Coli 	K9 Team 
25.06.2025	19:30	GRUPA D	K9 Team 	Rumina 
25.06.2025	19:30	GRUPA D	Coli 	Into the Breach 
25.06.2025	19:30	GRUPA D	WenDeagle 	Shashlik 
25.06.2025	20:15	GRUPA D	Shashlik 	Rumina 
25.06.2025	20:15	GRUPA D	Coli 	WenDeagle 
25.06.2025	20:15	GRUPA D	K9 Team 	Into the Breach 
25.06.2025	21:00	GRUPA D	Into the Breach 	Rumina 
25.06.2025	21:00	GRUPA D	K9 Team 	WenDeagle 
25.06.2025	21:00	GRUPA D	Coli 	Shashlik 
26.06.2025	18:00	GRUPA E	XPlosion 	LYSQ 
26.06.2025	18:00	GRUPA E	Cadian Team 	Bloody 
26.06.2025	18:00	GRUPA E	KostiujeniKlinik 	Flux Line 
26.06.2025	18:45	GRUPA E	Flux Line 	LYSQ 
26.06.2025	18:45	GRUPA E	KostiujeniKlinik 	Bloody 
26.06.2025	18:45	GRUPA E	XPlosion 	Cadian Team 
26.06.2025	19:30	GRUPA E	Cadian Team 	LYSQ 
26.06.2025	19:30	GRUPA E	XPlosion 	KostiujeniKlinik 
26.06.2025	19:30	GRUPA E	Flux Line 	Bloody 
26.06.2025	20:15	GRUPA E	Bloody 	LYSQ 
26.06.2025	20:15	GRUPA E	XPlosion 	Flux Line 
26.06.2025	20:15	GRUPA E	Cadian Team 	KostiujeniKlinik 
26.06.2025	21:00	GRUPA E	KostiujeniKlinik 	LYSQ 
26.06.2025	21:00	GRUPA E	Cadian Team 	Flux Line 
26.06.2025	21:00	GRUPA E	XPlosion 	Bloody 
