Team Summary:
1. XPlosion - Captain: Duke_0 (5 main, 2 reserve)
2. Robotaim - Captain: -nghtmarr (5 main, 0 reserve)
3. Lean Vision - Captain: Mndfvck (5 main, 0 reserve)
4. Coli - Captain: denisZx (7 main, 0 reserve)
5. Japon - Captain: BoreaTaga (5 main, 2 reserve)
6. Flux Line - Captain: hide- (5 main, 2 reserve)
7. Cipok - Captain: KROULYSFORD (5 main, 1 reserve)
8. La Passion - Captain: NuBekk (5 main, 2 reserve)
9. LYSQ - Captain: lazcc (5 main, 1 reserve)
10. RCBVR - Captain: DumaSula (5 main, 1 reserve)
11. Crasat - Captain: Feniyxad (5 main, 0 reserve)
12. Neo Egoist League - Captain: itzHYPEER (5 main, 0 reserve)
13. LitEnergy - Captain: denzy (5 main, 1 reserve)
14. Into The Beach - Captain: chazya (5 main, 0 reserve)
15. Very Good Team - Captain: DrMadness (5 main, 4 reserve)
16. KostiujeniKlinik - Captain: PhXGON (5 main, 1 reserve)
17. Muligambia - Captain: Fr0yMan (5 main, 2 reserve)
18. Legalize - Captain: sndeRR (5 main, 1 reserve)
19. Trigger - Captain: patan (5 main, 2 reserve)
20. WenDeagle - Captain: Alohadron (5 main, 1 reserve)
21. X-one - Captain: -OPIUMVXQ- (5 main, 0 reserve)
22. Cucumba - Captain: vd (5 main, 1 reserve)
23. Cadian Team - Captain: cadiaN (5 main, 0 reserve)
24. Onyx - Captain: Rexodd_ (5 main, 2 reserve)
25. Barbosii - Captain: btate (5 main, 0 reserve)
26. Wenzo - Captain: -ExTaZzy- (5 main, 2 reserve)
27. GoldenFive - Captain: mooghiwara (5 main, 0 reserve)
28. Auratix - Captain: Tankkillerr (5 main, 2 reserve)
29. Rumina - Captain: Huh (5 main, 0 reserve)
30. K Team - Captain: -farra (8 main, 0 reserve)
31. Killuminaty - Captain: aC_ (5 main, 1 reserve)
32. Shashlik - Captain: BogdanR (5 main, 0 reserve)
33. Ciocana Esports - Captain: CoMMaNDeR_MD (5 main, 2 reserve)
34. Bobbrs - Captain: ZanTX (5 main, 0 reserve)
35. Bloody - Captain: MrPalste (5 main, 2 reserve)
36. Brigada - Captain: TonyBossuB (5 main, 0 reserve)
37. Ciocălău Team - Captain: xen0 (5 main, 2 reserve)
38. Brigada Meteor - Captain: yeahmen0 (5 main, 1 reserve)
39. BPSP - Captain: Mkee (5 main, 0 reserve)
